Main	O
kesini	O
karena	O
ini	O
salah	O
satu	O
warisan	O
budaya	O
indonesia	B-LOC
,	O
candi	B-WIS
ini	O
salahsatu	O
yg	O
terbesar	O
diindonesia	B-LOC
,	O
,	O
sy	O
tinggal	O
di	O
yogya	B-LOC
juga	O
tapi	O
jarak	O
nya	O
kalo	O
kesini	O
lumayan	O
jauh	O
sihh	O
,	O
,	O
tapi	O
sayang	O
2	O
masa	O
orang	O
diy	B-LOC
gapernah	O
ke	O
candi	B-WIS
nya	O
,	O
,	O
Pengalaman	O
berharga	O
bisa	O
kesini	O
dengan	O
teman2	O
alumni	O

Saya	O
adalah	O
sopir	O
di	O
yogyakarta	B-LOC
ke	O
borobudur	B-WIS
dalam	O
rangka	O
mengantarkan	O
tamu	O
rombongan	O
dari	O
spanyol	B-LOC
dan	O
sekitarnya	O

Candi	B-WIS
yang	O
selalu	O
padat	O
pengunjung	O
.	O
Datang	O
pagi	O
hari	O
untuk	O
suasana	O
yang	O
lebih	O
sepi	O
sedikit	O
dan	O
tidak	O
terlalu	O
panas	O
.	O

Bangunan-bangunan	O
disini	O
lebih	O
terlihat	O
bergaya	O
arsitektur	O
Jawa	B-LOC
tradisional	O
.	O
Di	O
beberapa	O
bagian	O
terlihat	O
sentuhan	O
dari	O
budaya	O
asing	O
seperti	O
Portugis	B-LOC
,	O
Belanda	B-LOC
,	O
dan	O
Cina	B-LOC
.	O
Tiap-tiap	O
bangunan	O
memiliki	O
kelas	O
tergantung	O
pada	O
fungsinya	O
termasuk	O
kedekatannya	O
dengan	O
jabatan	O
penggunanya	O
.	O
Kelas	O
utama	O
misalnya	O
,	O
bangunan	O
yang	O
dipergunakan	O
oleh	O
Sultan	O
dalam	O
kapasitas	O
jabatannya	O
,	O
memiliki	O
detail	O
ornamen	O
yang	O
lebih	O
rumit	O
dan	O
indah	O
dibandingkan	O
dengan	O
kelas	O
dibawahnya	O
.	O
Kalau	O
mencari	O
guide	B-FAS
usahakan	O
cari	O
guide	B-FAS
yang	O
sudah	O
agak	O
senior	O
(	O
mohon	O
maaf	O
,	O
tapi	O
biasanya	O
berusia	O
lebih	O
tua	O
)	O
.	O
Mereka	O
jauh	O
lebih	O
menguasai	O
baik	O
sejarah	O
maupun	O
perkembangan	O
keraton	B-WIS
.	O
Harus	O
kemari	O
kalau	O
ke	O
Jogja	B-LOC
,	O

Kraton	B-WIS
Yogyakarta	I-WIS
merupakan	O
pusat	O
pemerintahan	O
Sultan	O
Yogyakarta	B-LOC
sejak	O
zaman	O
dulu	O
sampai	O
saat	O
ini	O
sebelum	O
dijadikan	O
obyek	O
wisata	O
.	O
Menampilkan	O
perjalanan	O
Raja-Raja	O
Kesultanan	O
Yogyakarta	O
dari	O
zaman	O
dulu	O
sampai	O
saat	O
ini	O
serta	O
peristiwa-peristiwa	O
penting	O
yang	O
terekam	O
di	O
sana	O
.	O
Kraton	B-WIS
Yogyakarta	I-WIS
terletak	O
di	O
tempat	O
yang	O
strategis	O
,	O
obyek	O
wisatanya	O
luas	O
dan	O
terawat	O
.	O
Harus	O
dikunjungi	O
jika	O
mengunjungi	O
Kota	O
Yogyakarta	B-LOC
.	O

Pada	O
sisi	O
selatan	O
Kraton	B-WIS
,	O
ada	O
alun-alun	B-WIS
yang	O
unik	O
yaitu	O
terdapat	O
dua	O
pohon	O
beringin	O
yang	O
umumnya	O
kita	O
tidak	O
bisa	O
melewati	O
jalan	O
antara	O
2	O
pohon	O
beringin	O
tersebut	O

Keraton	B-WIS
Ngayogyakarta	I-WIS
Hadiningrat	I-WIS
merupakan	O
tempat	O
yang	O
direkomendasikan	O
bila	O
ada	O
di	O
Jogja	B-LOC
.	O
Menikmati	O
kesenian	O
Karawitan	O
oleh	O
para	O
Abdi	O
Dalem	O
Keraton	B-WIS
,	O
serta	O
bisa	O
melihat	O
berbagai	O
benda-benda	O
milik	O
keraton	B-WIS

Termasuk	O
keraton	B-WIS
dengan	O
istana	O
yang	O
besar	O
dan	O
luas	O
di	O
Indonesia	B-LOC
,	O
jika	O
dibandingkan	O
istana	O
lain	O
(	O
misal	O
Melayu	O
Deli	O
,	O
Cirebon	B-LOC
)	O
.	O
Masih	O
berfungsi/digunakan	O
hingga	O
saat	O
ini	O
.	O

Pantai	B-WIS
ini	O
sangat	O
terkenal	O
.	O
Kami	O
beberapa	O
kali	O
ke	O
sini	O
untuk	O
menikmati	O
sunset	O
.	O
Tak	O
jarang	O
banyak	O
para	O
surfer	O
yang	O
berselancar	O
di	O
pantai	B-WIS
ini	O
.	O
Sayangnya	O
di	O
pantai	B-WIS
Kuta	I-WIS
ini	O
sudah	O
mulai	O
banyak	O
sampah	O
makanan	O
ditemui	O
.	O
Apabila	O
terasa	O
capek	O
jalan-jalan	O
sepanjang	O
pantai	B-WIS
,	O
banyak	O
penjual	B-FAS
minuman	O
yang	O
selalu	O
stand	O
by	O
di	O
pantai	B-WIS
.	O
Dan	O
juga	O
ada	O
para	O
tukang	B-FAS
pijat	I-FAS
tradisional	O
yang	O
menawarkan	O
jasa	O
pijat	B-FAS
kaki	O
dan	O
punggung	O
untuk	O
sekedar	O
relaksasi	O
setelah	O
capek	O
berjalan	O
.	O

pantai	B-WIS
Kuta	I-WIS
,	O
destinasi	O
wisata	O
yang	O
sudah	O
sangat	O
terkenal	O
,	O
indah	O
pantainya	B-WIS
,	O
debur	O
ombakpun	O
tidak	O
terlalu	O
besar	O
,	O
semua	O
ada	O
disini	O
,	O
asik	O
untuk	O
mengistirahatkan	O
raga	O
dan	O
rasa	O
.	O
.	O
.	O
lebih	O
indah	O
kala	O
sore	O
mnjelang	O

Beach	O
lover	O
,	O
tidak	O
akan	O
pernah	O
bosan	O
dengan	O
pantai	B-WIS
yang	O
satu	O
ini	O
,	O
tidak	O
hanya	O
wisatawan	O
lokal	O
namun	O
menjadi	O
saah	O
satu	O
objek	O
wisata	O
yang	O
paling	O
diincar	O
turis	O
asing	O
.	O
Terutama	O
dengan	O
arus	O
ombaknya	O
yang	O
tidak	O
terlalu	O
besar	O
baik	O
untuk	O
para	O
peselancar	O
pro	O
,	O
pemula	O
bahkan	O
yang	O
baru	O
belajar	O
.	O
Walaupun	O
suasananya	O
selalu	O
ramai	O
apalagi	O
dimusim	O
liburan	O
tetapi	O
tidak	O
menyurutkan	O
minat	O
para	O
pengunjung	O
untuk	O
menikmati	O
keindahan	O
pantai	B-WIS
ini	O
.	O
Kehangatan	O
pantainya	B-WIS
membawa	O
suasana	O
romantis	O
.	O
Lokasi	O
yang	O
nyaman	O
dan	O
banyak	O
hotel/hostel	B-FAS
diarea	O
sekitar	O
menjadikan	O
pantai	B-WIS
ini	O
semakin	O
mudah	O
untuk	O
diakses	O
.	O
Selamat	O
berlibur	O
.	O

Pantai	B-WIS
Kuta	I-WIS
memiliki	O
pasir	O
putih	O
yang	O
halus	O
,	O
dekat	O
dengan	O
pusat	O
kota	O
,	O
ramai	O
dan	O
juga	O
romantis	O
.	O
Jika	O
menjelang	O
senja	O
kita	O
dapat	O
berjalan	O
jalan	O
di	O
baywork	O
.	O
Pantai	B-WIS
Kuta	I-WIS
salah	O
satu	O
pantai	B-WIS
yang	O
wajib	O
anda	O
kunjungi	O
saat	O
anda	O
tiba	O
di	O
Bali	B-LOC

Pantai	B-WIS
Kuta	I-WIS
Bali	B-LOC
,	O
sudah	O
terkenal	O
di	O
Dunia	O
,	O
pantainya	B-WIS
Indah	O
dan	O
sangat	O
bagus	O
berkunjung	O
ke	O
pantai	B-WIS
kuta	I-WIS
di	O
sore	O
hari	O
,	O
tempat	O
bersantai	O
,	O
dekat	O
dengan	O
pusat	O
belanja	O
di	O
Kuta	B-WIS
area	O
,	O
semuanya	O
dekat	O
dan	O
banyak	O
hotel	B-FAS
disekitarnya	O
,	O
banyak	O
touris	O
lokal	O
maupun	O
manca	O
negara	O
yang	O
tidak	O
mau	O
melewatkan	O
kesempatan	O
untuk	O
mengunjungi	O
pantai	B-WIS
Kuta	I-WIS
,	O
karena	O
pasti	O
menyenangkan	O
dan	O
sangat	O
populer	O

Menikmati	O
Bangunan	O
Kuno	O
peninggalan	O
sejarah	O
.	O
serta	O
menikmati	O
alam	O
sekitar	O
Borobudur	B-WIS
bersama	O
pasangan	O
.	O
dan	O
bermalam	O
di	O
Magelang	B-LOC
Kota	O

Pantai	B-WIS
ini	O
sangat	O
cocok	O
buat	O
mereka	O
yang	O
hobi	O
bermain	O
ombak	O
dan	O
surfing	O
.	O
Karena	O
ombaknya	O
cukup	O
besar	O
.	O
Hanya	O
berhati-hatilah	O
.	O
Biasakan	O
untuk	O
bermain	O
ombak	O
di	O
antara	O
tanda	O
2	O
bendera	O
yang	O
dipasang	O
oleh	O
petugas	B-FAS
pengawas	O
pantai	B-WIS
.	O
Jangan	O
di	O
bendera	O
merah	O
.	O
Biasanya	O
pantai	B-WIS
ini	O
ramai	O
sekali	O
di	O
musim	O
liburan	O
,	O
jadi	O
tidak	O
cocok	O
buat	O
mereka	O
yang	O
menginginkan	O
suasana	O
pantai	B-WIS
yang	O
tenang	O
.	O
Sayangnya	O
pada	O
musim-musim	O
tertentu	O
pantai	B-WIS
kotor	O
,	O
akibat	O
sampah	O
yang	O
terbawa	O
dari	O
laut	O
.	O
Semoga	O
petugas	B-FAS
kebersihan	O
pantainya	B-WIS
selalu	O
tanggap	O
untuk	O
membersihkannya	O
,	O
selain	O
itu	O
diharapkan	O
turis-turis	O
yang	O
datang	O
juga	O
untuk	O
tidak	O
membuang	O
sampah	O
sembarangan	O
.	O

Jika	O
anda	O
baru	O
pertama	O
kali	O
menjejakkan	O
kaki	O
di	O
Bali	B-LOC
,	O
maka	O
Pantai	B-WIS
Kuta	I-WIS
wajib	O
anda	O
datangi	O
.	O
Karena	O
di	O
sini	O
lah	O
ikon	O
Bali	B-LOC
sebagai	O
Pulau	O
Wisata	O
nampak	O
dengan	O
jelas	O
.	O
Dengan	O
garis	O
pantai	B-WIS
yang	O
panjang	O
dan	O
pasirnya	O
yang	O
bersih	O
serta	O
ombak	O
yang	O
tinggi	O
,	O
pecinta	O
wisata	O
bahari	O
akan	O
sangat	O
puas	O
disini	O
.	O
Namun	O
jika	O
Anda	O
sudah	O
sering	O
ke	O
Bali	B-LOC
,	O
masih	O
banyak	O
pantai	B-WIS
yang	O
jauh	O
lebih	O
indah	O
dari	O
Kuta	B-WIS
.	O
Kecuali	O
jika	O
anda	O
memang	O
khusus	O
mencari	O
hiburan	O
berpesta	O
semalam	O
suntuk	O
,	O
maka	O
disinilah	O
tempatnya	O
.	O

Walaupun	O
sudah	O
banyak	O
pantai	B-WIS
yang	O
lebih	O
baik	O
atau	O
lebih	O
seru	O
dari	O
pantai	B-WIS
Kuta	I-WIS
,	O
tetap	O
saja	O
pantai	B-WIS
Kuta	I-WIS
ini	O
menjadi	O
icon	O
yg	O
menarik	O
untuk	O
dikunjungi	O
ketika	O
berada	O
di	O
Bali	B-LOC
.	O
.	O
Menikmati	O
matahari	O
terbenam	O
,	O
main	O
surfing	O
,	O
berenang	O
,	O
atau	O
sekedar	O
berjalan	O
dipasir	O
pantai	B-WIS
Kuta	I-WIS
memang	O
masih	O
menjadi	O
tujuan	O
utama	O
para	O
pelancong	O
.	O
.	O

Pantainya	B-WIS
bersih	O
tidak	O
ada	O
sampah	O
yg	O
terbawa	O
ombak	O
maupun	O
di	O
pasir	O
.	O
.	O
.	O
.	O
para	O
penjual	B-FAS
minumannya	O
pun	O
aktif	O
membersihkan	O
sampah	O
yg	O
ada	O
di	O
pasir	O
disekitar	O
tempat	O
mereka	O
berjualan	O
.	O
.	O
.	O

Mengunjungi	O
pantai	B-WIS
kuta	I-WIS
yang	O
terkenal	O
untuk	O
kesekian	O
kali	O
.	O
Hotel	B-FAS
saya	O
tepat	O
didepan	O
pantai	B-WIS
kuta	I-WIS
(	O
sheraton	O
)	O
.	O
Menurut	O
saya	O
,	O
pantai	B-WIS
kuta	I-WIS
sangat	O
tidak	O
terawat	O
sekarang	O
,	O
sampah	O
dibeberapa	O
sudut	O
pantai	B-WIS
dan	O
banyak	O
sekali	O
tukang	B-FAS
pijat	I-FAS
dan	O
pengepang	O
rambut	O
yang	O
seolah	O
memaksa	O
para	O
turis	O
dalam	O
menjajakan	O
jasanya	O
dengan	O
harga	O
yang	O
menurut	O
saya	O
tidak	O
masuk	O
akal	O
.	O

pantai	B-WIS
wisata	O
di	O
bali	B-LOC
yang	O
paling	O
banyak	O
di	O
kunjung	O
oleh	O
wisatawan	O
baik	O
asing	O
maupun	O
lokal	O
.	O
pantainya	B-WIS
yang	O
indah	O
dan	O
ombaknya	O
yang	O
besar	O
membuat	O
pantai	B-WIS
ini	O
di	O
cintai	O
oleh	O
wisatawan	O

Ini	O
pantai	B-WIS
favorit	O
yang	O
selalu	O
kami	O
kunjungi	O
saat	O
liburan	O
di	O
Bali	B-LOC
.	O
Pantai	B-WIS
ini	O
sangat	O
ramai	O
sekali	O
.	O
Banyak	O
turis	O
mancanegara	O
yang	O
surfing	O
di	O
pantai	B-WIS
ini	O
,	O
banyak	O
juga	O
yang	O
berjemur	O
,	O
maupun	O
sekedar	O
duduk-duduk	O
.	O
Banyak	O
juga	O
penjual	B-FAS
makanan	O
,	O
jasa	O
sewa	O
tempat	O
duduk	O
,	O
tato	O
,	O
kepang	O
,	O
dll	O
.	O
Pemandangan	O
saat	O
sore	O
hari	O
sangat	O
luar	O
biasa	O
bagus	O
.	O
Bisa	O
melihat	O
sunset	O
di	O
pantai	B-WIS
ini	O
,	O
dekat	O
dengan	O
bandara	O
juga	O
,	O
setiap	O
beberapa	O
menit	O
sekali	O
terlihat	O
pesawat	O
yang	O
akan	O
mendarat	O
di	O
Bandara	O
.	O
Pemandangan	O
saat	O
pagi	O
juga	O
bagus	O
.	O
Jalan	O
Pantai	B-WIS
Kuta	I-WIS
juga	O
banyak	O
pejalan	O
kaki	O
,	O
dan	O
banyak	O
sekali	O
hotel-hotel	B-FAS
,	O
restoran-restoran	B-FAS
,	O
restoran	B-FAS
fast	O
food	O
juga	O
ada	O
di	O
sepanjang	O
Jalan	O
Pantai	B-WIS
Kuta	I-WIS
.	O
Sepertinya	O
serasa	O
tidak	O
ke	O
Bali	B-LOC
jika	O
tidak	O
ke	O
Pantai	B-WIS
Kuta	I-WIS
.	O

